eve_fraction,qber,generator,test,statistic,p_value,passed,alpha,execution_time,details,error
0.0,0.0,BB84 Eve 0.00,Frequency (Monobit),0.20871032557111302,0.8346743790149885,True,0.01,0.0017706000000003996,"{'n': 100000, 'ones': 49967, 'zeros': 50033}",
0.0,0.0,BB84 Eve 0.00,Block Frequency,688.8125,0.9921146050550309,True,0.01,0.001078100000000859,"{'block_size': 128, 'n_blocks': 781}",
0.0,0.0,BB84 Eve 0.00,Runs,50056.0,0.7231043254658405,True,0.01,0.0010465000000010605,"{'n': 100000, 'pi': 0.49967}",
0.0,0.0,BB84 Eve 0.00,Longest Run of Ones,1.344090008514131,0.9303301316378608,True,0.01,0.036793599999999316,"{'block_size': 128, 'n_blocks': 781, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [99.0, 187.0, 192.0, 142.0, 74.0, 87.0]}",
0.0,0.0,BB84 Eve 0.00,Binary Matrix Rank,0.8770747621471799,0.6449790901566783,True,0.01,0.14415190000000067,"{'matrix_shape': [32, 32], 'n_matrices': 97, 'observed': [26.0, 55.0, 16.0]}",
0.0,0.0,BB84 Eve 0.00,Non-overlap Template,100.28255208333333,0.3894240589289826,True,0.01,0.6090641999999988,"{'template': '001', 'block_size': 1024, 'n_blocks': 97, 'mean': 127.75, 'variance': 48.0}",
0.0,0.0,BB84 Eve 0.00,Maurer Universal,8.1916420353396,0.3109476666960611,True,0.01,0.01694260000000014,"{'L': 9, 'Q': 5120, 'K': 5991, 'expected_value': 8.1764248, 'sigma': 0.015018457881660164}",
0.1,0.025282063320031366,BB84 Eve 0.10,Frequency (Monobit),1.043551627855565,0.2966928827639227,True,0.01,0.0013082000000004257,"{'n': 100000, 'ones': 49835, 'zeros': 50165}",
0.1,0.025282063320031366,BB84 Eve 0.10,Block Frequency,788.875,0.41471032359490306,True,0.01,0.0010668000000002564,"{'block_size': 128, 'n_blocks': 781}",
0.1,0.025282063320031366,BB84 Eve 0.10,Runs,49902.0,0.537650735724275,True,0.01,0.0010413999999983048,"{'n': 100000, 'pi': 0.49835}",
0.1,0.025282063320031366,BB84 Eve 0.10,Longest Run of Ones,2.093820823798932,0.8360167822712012,True,0.01,0.03484579999999937,"{'block_size': 128, 'n_blocks': 781, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [96.0, 195.0, 183.0, 129.0, 85.0, 93.0]}",
0.1,0.025282063320031366,BB84 Eve 0.10,Binary Matrix Rank,1.4912973835291972,0.4744264435719098,True,0.01,0.14930850000000007,"{'matrix_shape': [32, 32], 'n_matrices': 97, 'observed': [28.0, 60.0, 9.0]}",
0.1,0.025282063320031366,BB84 Eve 0.10,Non-overlap Template,97.53255208333334,0.465720945344344,True,0.01,0.5151137999999982,"{'template': '001', 'block_size': 1024, 'n_blocks': 97, 'mean': 127.75, 'variance': 48.0}",
0.1,0.025282063320031366,BB84 Eve 0.10,Maurer Universal,8.165844823612384,0.4811433031456621,True,0.01,0.015851600000001298,"{'L': 9, 'Q': 5120, 'K': 5991, 'expected_value': 8.1764248, 'sigma': 0.015018457881660164}",
0.2,0.05025831143265416,BB84 Eve 0.20,Frequency (Monobit),0.1201665510863984,0.90435121409872,True,0.01,0.0012198999999988303,"{'n': 100000, 'ones': 50019, 'zeros': 49981}",
0.2,0.05025831143265416,BB84 Eve 0.20,Block Frequency,788.0625,0.4226894262115207,True,0.01,0.0010182999999983622,"{'block_size': 128, 'n_blocks': 781}",
0.2,0.05025831143265416,BB84 Eve 0.20,Runs,49717.0,0.07348546600128888,True,0.01,0.001013500000002665,"{'n': 100000, 'pi': 0.50019}",
