length,generator,tests_run,tests_passed,pass_rate,min_p_value,median_p_value
1000,BB84 Eve 35%,7,4,0.5714285714285714,0.06642713848808159,0.5724193715916792
1000,BB84 no Eve,7,3,0.42857142857142855,0.00105319534886614,0.23860564471657048
1000,BB92 ideal,7,4,0.5714285714285714,0.30170690853214266,0.6239916629621445
1000,Biased p(1)=0.70,7,0,0.0,0.0,1.36148180308252e-28
1000,Block RNG,7,0,0.0,0.0,7.715745511083236e-30
1000,Markov p_stay=0.95,7,0,0.0,6.888083355838828e-171,3.2301423614171564e-11
1000,NumPy PCG64,7,4,0.5714285714285714,0.6153487344812452,0.7530518117833231
1000,Periodic 0101,7,2,0.2857142857142857,1.7958327848009304e-219,0.5
1000,Python Mersenne,7,4,0.5714285714285714,0.3381373754234494,0.8213057120552287
10000,BB84 Eve 35%,7,7,1.0,0.15890195873937343,0.556114385252636
10000,BB84 no Eve,7,7,1.0,0.12910059364148796,0.37439041324675665
10000,BB92 ideal,7,7,1.0,0.037221872287762525,0.09090021679134205
10000,Biased p(1)=0.70,7,1,0.14285714285714285,0.0,5.8456879647607064e-148
10000,Block RNG,7,0,0.0,0.0,5.3622841032033086e-160
10000,Markov p_stay=0.95,7,1,0.14285714285714285,0.0,1.608061477316092e-138
10000,NumPy PCG64,7,7,1.0,0.013953131998585595,0.49962082553871534
10000,Periodic 0101,7,2,0.2857142857142857,0.0,1.7588066672691079e-124
10000,Python Mersenne,7,7,1.0,0.12060541321706775,0.49962082553871534
100000,BB84 Eve 35%,7,7,1.0,0.06387024478633466,0.6152767466149204
100000,BB84 no Eve,7,7,1.0,0.046547302603029965,0.5432636715902895
100000,BB92 ideal,7,7,1.0,0.1769082205922115,0.6270391893260533
100000,Biased p(1)=0.70,7,1,0.14285714285714285,0.0,0.0
100000,Block RNG,7,1,0.14285714285714285,0.0,0.0
100000,Markov p_stay=0.95,7,1,0.14285714285714285,0.0,0.0
100000,NumPy PCG64,7,7,1.0,0.05133921810725661,0.7700858157058568
100000,Periodic 0101,7,2,0.2857142857142857,0.0,0.0
100000,Python Mersenne,7,7,1.0,0.20422973213126439,0.512019847578093
