generator,test,statistic,p_value,passed,alpha,execution_time,details,error
NumPy PCG64,Frequency (Monobit),1.5786639921148515,0.11441314816663634,True,0.01,0.003583300000000289,"{""n"": 200000, ""ones"": 99647, ""zeros"": 100353}",
NumPy PCG64,Block Frequency,1489.6875,0.9035964602887092,True,0.01,0.0026178999999997288,"{""block_size"": 128, ""n_blocks"": 1562}",
NumPy PCG64,Runs,100166.0,0.454486352388772,True,0.01,0.001862700000000217,"{""n"": 200000, ""pi"": 0.498235}",
NumPy PCG64,Longest Run of Ones,7.7640205733519165,0.16972941807644742,True,0.01,0.10232799999999997,"{""block_size"": 128, ""n_blocks"": 1562, ""categories"": [4, 5, 6, 7, 8, 9], ""observed"": [204.0, 404.0, 387.0, 246.0, 159.0, 162.0]}",
NumPy PCG64,Binary Matrix Rank,0.14635761504904116,0.9294346252623575,True,0.01,0.27001359999999996,"{""matrix_shape"": [32, 32], ""n_matrices"": 195, ""observed"": [54.0, 114.0, 27.0]}",
NumPy PCG64,Non-overlap Template,182.53515625,0.7294684280412767,True,0.01,1.1358435999999998,"{""template"": ""001"", ""block_size"": 1024, ""n_blocks"": 195, ""mean"": 127.75, ""variance"": 48.0}",
NumPy PCG64,Maurer Universal,9.15097657454838,0.07676789475776861,True,0.01,0.03309920000000055,"{""L"": 10, ""Q"": 10240, ""K"": 9760, ""expected_value"": 9.1723243, ""sigma"": 0.012062528708870642}",
Python Mersenne,Frequency (Monobit),1.3729457381848709,0.16976921611375584,True,0.01,0.002516399999999308,"{""n"": 200000, ""ones"": 100307, ""zeros"": 99693}",
Python Mersenne,Block Frequency,1514.125,0.8033098662670622,True,0.01,0.0017180999999997226,"{""block_size"": 128, ""n_blocks"": 1562}",
Python Mersenne,Runs,99766.0,0.2972843417013393,True,0.01,0.0018470999999999904,"{""n"": 200000, ""pi"": 0.501535}",
Python Mersenne,Longest Run of Ones,4.086824080071855,0.5369844097462998,True,0.01,0.08117000000000019,"{""block_size"": 128, ""n_blocks"": 1562, ""categories"": [4, 5, 6, 7, 8, 9], ""observed"": [180.0, 409.0, 373.0, 265.0, 168.0, 167.0]}",
Python Mersenne,Binary Matrix Rank,0.39686873855102534,0.8200135870601917,True,0.01,0.2870083000000001,"{""matrix_shape"": [32, 32], ""n_matrices"": 195, ""observed"": [56.0, 110.0, 29.0]}",
Python Mersenne,Non-overlap Template,174.54557291666669,0.8508963596393173,True,0.01,1.0823841000000005,"{""template"": ""001"", ""block_size"": 1024, ""n_blocks"": 195, ""mean"": 127.75, ""variance"": 48.0}",
Python Mersenne,Maurer Universal,9.160101458991365,0.3109216114180676,True,0.01,0.04155230000000021,"{""L"": 10, ""Q"": 10240, ""K"": 9760, ""expected_value"": 9.1723243, ""sigma"": 0.012062528708870642}",
Biased p(1)=0.70,Frequency (Monobit),179.23426480447316,0.0,False,0.01,0.00349339999999998,"{""n"": 200000, ""ones"": 140078, ""zeros"": 59922}",
